,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
104,106,"Woodstock Street, Mayfair",51.51410514,-0.147301667,13.0,7,True,False,False,10:30
105,107,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.09631762699999999,13.0,6,True,False,False,10:30
106,104,"Crosswall, Tower",51.51159481,-0.077121322,24.0,10,True,False,False,10:30
107,105,"Westbourne Grove, Bayswater",51.51552971,-0.190240716,12.0,14,True,False,False,10:30
108,119,"Bath Street, St. Luke's",51.52589324,-0.090847761,5.0,11,True,False,False,10:30
109,118,"Rochester Row, Westminster",51.49582705,-0.13547809,6.0,7,True,False,False,10:30
110,117,"Lollard Street, Vauxhall",51.49288067,-0.114934001,3.0,21,True,False,False,10:30
111,116,"Little Argyll Street, West End",51.51449962,-0.141423695,20.0,0,True,False,False,10:30
112,115,"Braham Street, Aldgate",51.51423368,-0.07353765400000001,32.0,0,True,False,False,10:30
113,114,"Park Road (Baker Street), Regent's Park",51.52451738,-0.15896364699999999,16.0,6,True,False,False,10:30
114,113,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,12.0,6,True,False,False,10:30
115,112,"Stonecutter Street, Holborn",51.51580998,-0.105270275,35.0,9,True,False,False,10:30
116,127,"Wood Street, Guildhall",51.51700801,-0.09388536,15.0,0,True,False,False,10:30
117,126,"Museum of London, Barbican",51.51782144,-0.096496865,48.0,0,True,False,False,10:30
118,125,"Borough High Street, The Borough",51.50069491,-0.09452431900000001,13.0,8,True,False,False,10:30
119,124,"Eaton Square, Belgravia",51.49654462,-0.150905245,11.0,7,True,False,False,10:30
120,123,"St. John Street, Finsbury",51.52836014,-0.104724625,3.0,15,True,False,False,10:30
121,122,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,18.0,4,True,False,False,10:30
122,121,"Baker Street, Marylebone",51.51891348,-0.156166631,19.0,3,True,False,False,10:30
123,120,"The Guildhall, Guildhall",51.51573534,-0.093080779,14.0,2,True,False,False,10:30
124,137,"Bourne Street, Belgravia",51.49087475,-0.153319609,7.0,9,True,False,False,10:30
125,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,29.0,1,True,False,False,10:30
